spotify:track:7eTXqLl3aBhuF73AL4glT8,0.509,0.797,216850.0,0.53,0.0,10.0,0.102,-10.19,0.0,0.0756,99.966,4.0,0.596
spotify:track:04aAxqtGp5pv12UXAg4pkq,0.004,0.385,228360.0,0.866,0.0,4.0,0.111,-2.817,0.0,0.0697,176.014,4.0,0.551
spotify:track:5Kr01FtRG1qf7nHJJoGAX9,0.0316,0.448,359500.0,0.725,1.25e-06,9.0,0.426,-5.259,0.0,0.0454,151.962,4.0,0.231
spotify:track:7CauSnUJDM0tXaa1iGbsvb,0.051,0.55,222480.0,0.772,0.000584,5.0,0.188,-7.657,1.0,0.0311,120.967,4.0,0.265
spotify:track:2gpVdtEWFwUyl6uLLmvBzW,0.448,0.599,248000.0,0.553,0.905,5.0,0.137,-8.176,1.0,0.0325,120.025,4.0,0.191
spotify:track:4gpcn8tIHkakAN72oFwrfb,0.00475,0.622,223453.0,0.827,0.0568,0.0,0.0981,-7.384,1.0,0.0913,125.988,4.0,0.313
spotify:track:4jozjPDv6YVVDmDqDQqyTf,0.000289,0.606,219052.0,0.758,0.11,5.0,0.143,-5.721,0.0,0.027,116.043,4.0,0.435
spotify:track:6oP02i1hRc3Qp9bd36Ya3Z,0.000626,0.654,263890.0,0.811,0.0,10.0,0.234,-4.767,1.0,0.0392,124.993,4.0,0.562
spotify:track:0sNu1RdkrTUg7qmyOZYLgw,0.0364,0.435,195453.0,0.903,0.00241,8.0,0.115,-4.638,0.0,0.14,159.984,4.0,0.446
spotify:track:3X3gW2FslwjwOEFaFnXNS6,0.0133,0.556,223960.0,0.923,0.0,4.0,0.518,-3.65,0.0,0.147,128.026,4.0,0.318
spotify:track:2PqJ9HPAlIAiX9GPbAannp,0.0042,0.491,232570.0,0.792,0.0,4.0,0.0471,-6.009,0.0,0.0608,128.113,4.0,0.36
spotify:track:60hmtJmGbsAEXC0KCKMlN3,0.141,0.669,242440.0,0.747,0.0,6.0,0.185,-7.108,1.0,0.0428,122.531,4.0,0.483
spotify:track:0havnPncOkI1Mmf1Glr9tj,0.00382,0.38,255075.0,0.904,0.0795,5.0,0.0485,-3.947,1.0,0.0452,164.93,4.0,0.158
spotify:track:73NbHgUZ51H65Bfo2HFKUi,0.0392,0.675,201240.0,0.662,0.0,1.0,0.128,-4.989,1.0,0.0318,134.936,4.0,0.536
